item_id,dept_id,cat_id,avg_daily_demand,std_daily_demand,avg_price,annual_demand,total_revenue,safety_stock,reorder_point,eoq,abc_class,demand_cv,stockout_risk
FOODS_3_120,FOODS_3,FOODS,33.48,33.43,4.98,12219.66,314272.86,146.0,381.0,3503.0,A,1.0,Normal
FOODS_3_090,FOODS_3,FOODS,67.86,57.29,1.39,24768.88,177670.22,250.0,726.0,9443.0,A,0.84,Normal
FOODS_3_586,FOODS_3,FOODS,46.0,16.4,1.6,16791.55,138569.38,72.0,395.0,7249.0,A,0.36,Normal
FOODS_3_202,FOODS_3,FOODS,16.5,10.25,4.32,6023.18,134336.66,45.0,161.0,2641.0,A,0.62,Normal
FOODS_2_197,FOODS_2,FOODS,21.55,12.56,3.24,7867.15,131473.71,55.0,206.0,3487.0,A,0.58,Normal
FOODS_3_587,FOODS_3,FOODS,25.81,20.03,2.56,9420.87,124634.28,88.0,269.0,4289.0,A,0.78,Normal
FOODS_3_252,FOODS_3,FOODS,39.86,18.48,1.52,14548.88,114250.57,81.0,361.0,6917.0,A,0.46,Normal
FOODS_2_244,FOODS_2,FOODS,10.24,6.84,5.85,3737.91,112915.19,30.0,102.0,1788.0,A,0.67,Normal
FOODS_2_019,FOODS_2,FOODS,18.49,10.85,3.24,6749.5,112806.12,48.0,178.0,3230.0,A,0.59,Normal
HOBBIES_1_236,HOBBIES_1,HOBBIES,4.18,4.36,11.81,1524.48,92956.15,19.0,49.0,804.0,A,1.04,Normal
FOODS_3_511,FOODS_3,FOODS,7.17,9.89,6.53,2616.77,88205.19,44.0,95.0,1416.0,A,1.38,Normal
HOUSEHOLD_1_535,HOUSEHOLD_1,HOUSEHOLD,6.5,4.96,6.97,2371.05,85347.65,22.0,68.0,1305.0,A,0.76,Normal
FOODS_2_276,FOODS_2,FOODS,13.42,9.73,3.24,4899.71,81890.18,43.0,137.0,2752.0,A,0.72,Normal
HOBBIES_1_147,HOBBIES_1,HOBBIES,4.34,3.81,10.0,1582.57,81749.77,17.0,48.0,890.0,A,0.88,Normal
FOODS_3_099,FOODS_3,FOODS,17.34,7.82,2.5,6330.67,81744.37,35.0,157.0,3559.0,A,0.45,Normal
HOBBIES_1_354,HOBBIES_1,HOBBIES,1.83,3.41,23.64,666.88,81419.63,15.0,28.0,376.0,A,1.86,High
FOODS_3_785,FOODS_3,FOODS,13.61,24.08,3.15,4965.94,80699.87,105.0,201.0,2810.0,A,1.77,High
FOODS_3_714,FOODS_3,FOODS,27.86,14.41,1.52,10168.88,80049.99,63.0,259.0,5776.0,A,0.52,Normal
FOODS_3_574,FOODS_3,FOODS,6.88,6.32,5.99,2512.4,77662.77,28.0,77.0,1449.0,A,0.92,Normal
FOODS_3_546,FOODS_3,FOODS,6.88,5.43,5.99,2509.69,77578.97,24.0,73.0,1448.0,A,0.79,Normal
